cpse_code,material_code,description,uom,category,subcategory,manufacturer,manufacturer_part_number,material_grade,size,pressure_class,voltage,power,frequency,diameter,schedule,seal_type,body_material,trim_material,end_connection,length
IOCL,IOCL-DEMO-36FBEA,ELECTRICAL COMPONENT SCHNEIDER ELECTRIC 6FSX-CTP8-NP26-IHN7 4480.24 KA 143784 KV 2P 37 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,6FSX-CTP8-NP26-IHN7,,,,,,,,,,,,,
ONGC,ONGC-DEMO-0DD6E4,MOTOR BALDOR 1DTA-6WLW-MRH0-2JEX-WKUL 9413.99 HP 200 KV 50 HZ 1800 RPM TEFC,EACH,CAT-MTR,Motor,Baldor,1DTA-6WLW-MRH0-2JEX-WKUL,,,,200 KV,9413.99 HP,50 HZ,,,,,,,
BHEL,BHEL-DEMO-95A976,INSTRUMENTATION WIKA ZX3V-V6AJ-8QLM-XRLY-2UN4 8460 PSI HART 1/2 NPT 0.25%,EACH,CAT-INS,Instrumentation,WIKA,ZX3V-V6AJ-8QLM-XRLY-2UN4,,,,,,,,,,,,,
IOCL,IOCL-DEMO-B4DC75,MOTOR SIEMENS LW33-5LDU-LKUF-0B4Z-CYSG 6806.55 HP 7307 V 50 HZ 1200 RPM TENV,EACH,CAT-MTR,Motor,Siemens,LW33-5LDU-LKUF-0B4Z-CYSG,,,,7307 V,6806.55 HP,50 HZ,,,,,,,
NTPC,NTPC-DEMO-B3FC2E,ELECTRICAL COMPONENT EATON V4DS-UNOM-ZF9T-YMIZ 5300.55 A 132910 V 1P 99 KA,EACH,CAT-ELC,Electrical Component,Eaton,V4DS-UNOM-ZF9T-YMIZ,,,,,,,,,,,,,
NTPC,NTPC-DEMO-EC95F0,FASTENER HILTI 60LA-F4INX83A8-O1Y8-G3F3 9 MM 368 MM B7 METRIC FINE,EACH,CAT-FST,Fastener,Hilti,60LA-F4INx83A8-O1Y8-G3F3,,,,,,,9 mm,,,,,,
ONGC,ONGC-DEMO-0AFD8E,PPE 3M DULG-VRX8-RTE3-6LQ9 11 NITRILE CE BLUE,EACH,CAT-PPE,PPE,3M,DULG-VRX8-RTE3-6LQ9,,11,,,,,,,,,,,
SAIL,SAIL-DEMO-6FB064,FLANGE CHW FORGE FTKH-LCE7-UOR0-O41A-3Q27 3.97 MM 150# LAP JOINT FLAT FACE (FF),EACH,CAT-FLG,Flange,CHW Forge,FTKH-LCE7-UOR0-O41A-3Q27,,3.97 mm,150#,,,,,,,,,,
IOCL,IOCL-DEMO-903F6E,PPE DUPONT KDKC-OOWH-YAGR-GYFH 9 LEATHER ANSI BLUE,EACH,CAT-PPE,PPE,DuPont,KDKC-OOWH-YAGR-GYFH,,9,,,,,,,,,,,
NTPC,NTPC-DEMO-0C8D27,BEARING TIMKEN QXX7Y8OO2L4C (E.G. 6204-2RS1/C3) 1313 MM 1821 INCH 199 INCH RS,EACH,CAT-BRG,Bearing,Timken,QXX7Y8OO2L4C (e.g. 6204-2RS1/C3),,,,,,,,,RS,,,,
SAIL,SAIL-DEMO-F723F9,VALVE VELAN 9E66-SHCC-6286-HZ7Y-ZUGA-QD8L 60.04 MM 900# DUCTILE IRON WAFER,EACH,CAT-VLV,Valve,Velan,9E66-SHCC-6286-HZ7Y-ZUGA-QD8L,,60.04 mm,900#,,,,,,,Ductile Iron,,Wafer,
SAIL,SAIL-DEMO-C228D2,PUMP SULZER UEKB-XBUO-DRMT-P7PY 5369 GPM 1601 M 247.33 KW,EACH,CAT-PMP,Pump,Sulzer,UEKB-XBUO-DRMT-P7PY,,,,,247.33 KW,,,,,,,,
BHEL,BHEL-DEMO-95C3FB,LUBRICANT SHELL 8DDK VT8K G5DI - CB5L ISO VG 220 MINERAL NLGI 3 477 L,EACH,CAT-LUB,Lubricant,Shell,8DDK VT8K G5DI - CB5L,,,,,,,,,,,,,
NTPC,NTPC-DEMO-AC427D,INSTRUMENTATION ROSEMOUNT JS0E-1204-PTXP-QOFA-SVSO 3658 PSI 0-10V FLANGED 2 INCH 1.0%,EACH,CAT-INS,Instrumentation,Rosemount,JS0E-1204-PTXP-QOFA-SVSO,,,,,,,,,,,,,
BHEL,BHEL-DEMO-5D513C,GASKET FLEXITALLIC RHWP-YKOK-0CRA-JNFE-1DC1-P51N 57.4 INCH 300# RTJ SOFT IRON,EACH,CAT-GSK,Gasket,Flexitallic,RHWP-YKOK-0CRA-JNFE-1DC1-P51N,,57.4 inch,300#,,,,,,,,,,
SAIL,SAIL-DEMO-A05DD6,INSTRUMENTATION ENDRESS+HAUSER EI08-HVZN-M48Y-1NE0-P54M 2029 PSI PROFIBUS 1/2 NPT 0.5%,EACH,CAT-INS,Instrumentation,Endress+Hauser,EI08-HVZN-M48Y-1NE0-P54M,,,,,,,,,,,,,
BHEL,BHEL-DEMO-FF5010,PPE DUPONT MXSQ-EH2G-YLLJ-GYDS M LEATHER ANSI RED,EACH,CAT-PPE,PPE,DuPont,MXSQ-EH2G-YLLJ-GYDS,,M,,,,,,,,,,,
NTPC,NTPC-DEMO-89EF5F,LUBRICANT MOBIL JRJ3 WFX2 A12H - Q7JF ISO VG 220 MINERAL NLGI 1 753 L,EACH,CAT-LUB,Lubricant,Mobil,JRJ3 WFX2 A12H - Q7JF,,,,,,,,,,,,,
ONGC,ONGC-DEMO-28296B,LUBRICANT TOTALENERGIES 9IRG SQ5Y TBEH - P5W4 ISO VG 220 PAG NLGI 3 900 L,EACH,CAT-LUB,Lubricant,TotalEnergies,9IRG SQ5Y TBEH - P5W4,,,,,,,,,,,,,
SAIL,SAIL-DEMO-FC546C,CABLE HAVELLS 6TUUC X XFAR SQMM N4C0/P7F8 93IS 76 EACH 593.07 MM2 33KV PVC,EACH,CAT-CBL,Cable,Havells,6TUUC x XFAR sqmm N4C0/P7F8 93IS,,,,,,,,,,,,,
BHEL,BHEL-DEMO-CEDC7D,PPE ANSELL 8YGV-Y6DC-MIMO-30O7 9 KEVLAR EN 397 YELLOW,EACH,CAT-PPE,PPE,Ansell,8YGV-Y6DC-MIMO-30O7,,9,,,,,,,,,,,
NTPC,NTPC-DEMO-38DF0F,FASTENER HILTI KXIF-J9XXXS1RM-UYLW-00CI 66 MM 293 INCH A4-80 UNF,EACH,CAT-FST,Fastener,Hilti,KXIF-J9XXxS1RM-UYLW-00CI,,,,,,,66 mm,,,,,,
IOCL,IOCL-DEMO-685F7A,BEARING TIMKEN IX5MEC4C5HQJ (E.G. 6204-2RS1/C3) 1190 INCH 1014 MM 268 MM NR,EACH,CAT-BRG,Bearing,Timken,IX5MEC4C5HQJ (e.g. 6204-2RS1/C3),,,,,,,,,NR,,,,
IOCL,IOCL-DEMO-1C431F,MOTOR ABB 1T53-FWNK-YAOD-C0PB-8TL9 8481.97 HP 4306 V 60 HZ 900 RPM TEFC,EACH,CAT-MTR,Motor,ABB,1T53-FWNK-YAOD-C0PB-8TL9,,,,4306 V,8481.97 HP,60 HZ,,,,,,,
IOCL,IOCL-DEMO-1B7212,PPE DUPONT ZI0I-WZ34-TD6I-ZZFN XXL HDPE ANSI WHITE,EACH,CAT-PPE,PPE,DuPont,ZI0I-WZ34-TD6I-ZZFN,,XXL,,,,,,,,,,,
IOCL,IOCL-DEMO-44DBEB,FLANGE GALPERTI 3LNC-8ZMW-QYPX-Y358-5TDC 41.51 MM 1500# SOCKET WELD RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Galperti,3LNC-8ZMW-QYPX-Y358-5TDC,,41.51 mm,1500#,,,,,,,,,,
ONGC,ONGC-DEMO-11A179,ELECTRICAL COMPONENT EATON 9QI4-MVA0-GZZ3-PX53 11.93 KA 430568 V 1P 91 KA,EACH,CAT-ELC,Electrical Component,Eaton,9QI4-MVA0-GZZ3-PX53,,,,,,,,,,,,,
NTPC,NTPC-DEMO-4634A5,LUBRICANT MOBIL GV7V BKMJ 9QNH - XWQ1 ISO VG 46 ESTER NLGI 3 755 L,EACH,CAT-LUB,Lubricant,Mobil,GV7V BKMJ 9QNH - XWQ1,,,,,,,,,,,,,
IOCL,IOCL-DEMO-9E53D4,LUBRICANT KLÜBER GNN4 2W4C 2VHB - SYI9 SAE 10W-40 ESTER NLGI 1 660 L,EACH,CAT-LUB,Lubricant,Klüber,GNN4 2W4C 2VHB - SYI9,,,,,,,,,,,,,
BHEL,BHEL-DEMO-C90E14,INSTRUMENTATION ENDRESS+HAUSER ICIK-GFLS-QNEX-6ISY-GDCQ 8936 DEGF MODBUS 1/2 NPT 0.1%,EACH,CAT-INS,Instrumentation,Endress+Hauser,ICIK-GFLS-QNEX-6ISY-GDCQ,,,,,,,,,,,,,
SAIL,SAIL-DEMO-0F07D4,ELECTRICAL COMPONENT ABB LDR4-JEDF-OX8U-237C 5637.78 A 273058 KV 4P 69 KA,EACH,CAT-ELC,Electrical Component,ABB,LDR4-JEDF-OX8U-237C,,,,,,,,,,,,,
SAIL,SAIL-DEMO-CD444F,ELECTRICAL COMPONENT SIEMENS D0F3-CUK2-60GX-IPAJ 4542.05 A 51494 V 3P 123 KA,EACH,CAT-ELC,Electrical Component,Siemens,D0F3-CUK2-60GX-IPAJ,,,,,,,,,,,,,
BHEL,BHEL-DEMO-3FF0BA,CABLE PRYSMIAN N8QVC X W0BP SQMM OV5B/I6HT NQBJ 48 EACH 814.54 MM2 11KV XLPE,EACH,CAT-CBL,Cable,Prysmian,N8QVC x W0BP sqmm OV5B/I6HT NQBJ,,,,,,,,,,,,,
NTPC,NTPC-DEMO-E721A1,PUMP KSB DK1C-W99G-OUTT-P9CC 13176 GPM 817 M 3870.64 KW,EACH,CAT-PMP,Pump,KSB,DK1C-W99G-OUTT-P9CC,,,,,3870.64 KW,,,,,,,,
NTPC,NTPC-DEMO-3C6958,INSTRUMENTATION WIKA EUJX-ZSQB-Q0A2-8ZPX-HD2T 6393 DEGC 4-20MA SANITARY 0.1%,EACH,CAT-INS,Instrumentation,WIKA,EUJX-ZSQB-Q0A2-8ZPX-HD2T,,,,,,,,,,,,,
SAIL,SAIL-DEMO-B8116A,FLANGE ULMA QLD6-1LUM-SSEG-47GJ-GD3A 45.76 MM 600# SLIP-ON RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Ulma,QLD6-1LUM-SSEG-47GJ-GD3A,,45.76 mm,600#,,,,,,,,,,
ONGC,ONGC-DEMO-5B7AFD,BEARING FAG 91KZKTTIY85L (E.G. 6204-2RS1/C3) 275 MM 525 INCH 179 INCH NR,EACH,CAT-BRG,Bearing,FAG,91KZKTTIY85L (e.g. 6204-2RS1/C3),,,,,,,,,NR,,,,
SAIL,SAIL-DEMO-BB430D,VALVE EMERSON 3M5H-LKHR-INS2-SSKX-JOGA-BJ7Y 46.65 MM 150# LCC BUTT WELD,EACH,CAT-VLV,Valve,Emerson,3M5H-LKHR-INS2-SSKX-JOGA-BJ7Y,,46.65 mm,150#,,,,,,,LCC,,Butt Weld,
IOCL,IOCL-DEMO-5441C5,GASKET KLINGER UE3Y-5UJ0-MO8M-4BZC-JKN9-VZU6 26.61 MM 300# PTFE PTFE,EACH,CAT-GSK,Gasket,Klinger,UE3Y-5UJ0-MO8M-4BZC-JKN9-VZU6,,26.61 mm,300#,,,,,,,,,,
IOCL,IOCL-DEMO-BC4957,GASKET KLINGER 9RJR-Y5SR-6KP6-A47P-5EW2-QEKJ 1.26 MM 2500# SPIRAL WOUND SS304,EACH,CAT-GSK,Gasket,Klinger,9RJR-Y5SR-6KP6-A47P-5EW2-QEKJ,,1.26 mm,2500#,,,,,,,,,,
BHEL,BHEL-DEMO-645099,PIPE JINDAL SAW TMWZ-7ZX6-FA9H-1XEZ-NC1N 27.21 MM SCH160 API 5L X52 12 M,EACH,CAT-PIP,Pipe,Jindal SAW,TMWZ-7ZX6-FA9H-1XEZ-NC1N,API 5L X52,,,,,,27.21 mm,SCH160,,,,,
IOCL,IOCL-DEMO-DFFF8A,MOTOR ABB 667O-GK8A-CG0C-MOAC-97UM 1712.8 KW 5823 KV 60 HZ 900 RPM TEFC,EACH,CAT-MTR,Motor,ABB,667O-GK8A-CG0C-MOAC-97UM,,,,5823 KV,1712.8 kW,60 HZ,,,,,,,
ONGC,ONGC-DEMO-23B9C4,BEARING TIMKEN 63XOJXCZ147D (E.G. 6204-2RS1/C3) 769 INCH 1674 INCH 326 MM RS,EACH,CAT-BRG,Bearing,Timken,63XOJXCZ147D (e.g. 6204-2RS1/C3),,,,,,,,,RS,,,,
NTPC,NTPC-DEMO-C87A3E,PUMP KSB 291R-99IR-SJP7-YHX8 10113 M3/H 803 M 1379.09 HP,EACH,CAT-PMP,Pump,KSB,291R-99IR-SJP7-YHX8,,,,,1379.09 HP,,,,,,,,
ONGC,ONGC-DEMO-D8AEB2,FASTENER HILTI E7U3-WMJEX8JXI-HW1O-PSIJ 61 MM 63 INCH B7 METRIC COARSE,EACH,CAT-FST,Fastener,Hilti,E7U3-WMJEx8JXI-HW1O-PSIJ,,,,,,,61 mm,,,,,,
IOCL,IOCL-DEMO-4D52E7,CABLE POLYCAB LBU4C X P81J SQMM 2JCX/EWTN VVQV 2 EACH 582.87 MM2 3.3KV EPR,EACH,CAT-CBL,Cable,Polycab,LBU4C x P81J sqmm 2JCX/EWTN VVQV,,,,,,,,,,,,,
NTPC,NTPC-DEMO-4DD3CB,CABLE HAVELLS 8G1IC X CMEQ SQMM YWNP/99QW R5UW 19 EACH 435.03 MM2 33KV PVC,EACH,CAT-CBL,Cable,Havells,8G1IC x CMEQ sqmm YWNP/99QW R5UW,,,,,,,,,,,,,
IOCL,IOCL-DEMO-A86621,ELECTRICAL COMPONENT EATON LCVR-BOH1-ZGD1-1U0J 5585.53 KA 631056 KV 4P 31 KA,EACH,CAT-ELC,Electrical Component,Eaton,LCVR-BOH1-ZGD1-1U0J,,,,,,,,,,,,,
NTPC,NTPC-DEMO-99B745,INSTRUMENTATION HONEYWELL V6EM-X6OB-B61X-Q2U9-FAPK 64 DEGF HART 1/4 NPT 0.5%,EACH,CAT-INS,Instrumentation,Honeywell,V6EM-X6OB-B61X-Q2U9-FAPK,,,,,,,,,,,,,
NTPC,NTPC-DEMO-80C4D3,FASTENER KAMAX TQ4T-1T1KXJL9U-9NAR-X2AJ 86 MM 96 MM L7 METRIC FINE,EACH,CAT-FST,Fastener,Kamax,TQ4T-1T1KxJL9U-9NAR-X2AJ,,,,,,,86 mm,,,,,,
NTPC,NTPC-DEMO-4CAA4F,VALVE CRANE X0UY-8GWW-10UN-W9KM-077X-U39D 30.1 INCH 900# A105 LUG,EACH,CAT-VLV,Valve,Crane,X0UY-8GWW-10UN-W9KM-077X-U39D,,30.1 inch,900#,,,,,,,A105,,Lug,
SAIL,SAIL-DEMO-0B74CC,PPE MSA SAFETY K6IJ-LBDU-NU8J-EXPF M KEVLAR ANSI BLUE,EACH,CAT-PPE,PPE,MSA Safety,K6IJ-LBDU-NU8J-EXPF,,M,,,,,,,,,,,
ONGC,ONGC-DEMO-332560,ELECTRICAL COMPONENT SIEMENS 93AO-ALR5-S105-6YXA 35.26 A 619344 KV 3P 114 KA,EACH,CAT-ELC,Electrical Component,Siemens,93AO-ALR5-S105-6YXA,,,,,,,,,,,,,
BHEL,BHEL-DEMO-EFFF0A,VALVE CRANE CV3B-T4VJ-V5JT-228R-9DDK-BIXX 1.75 INCH 300# BRONZE SOCKET WELD,EACH,CAT-VLV,Valve,Crane,CV3B-T4VJ-V5JT-228R-9DDK-BIXX,,1.75 inch,300#,,,,,,,Bronze,,Socket Weld,
ONGC,ONGC-DEMO-DDABF4,BEARING TIMKEN HYKAWYYLIZLF (E.G. 6204-2RS1/C3) 1414 MM 677 MM 84 MM OPEN,EACH,CAT-BRG,Bearing,Timken,HYKAWYYLIZLF (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,
ONGC,ONGC-DEMO-483ED7,MOTOR SIEMENS WMJG-6RBJ-5NQE-2X2U-GLSR 656.42 HP 4383 V 60 HZ 750 RPM TEFC,EACH,CAT-MTR,Motor,Siemens,WMJG-6RBJ-5NQE-2X2U-GLSR,,,,4383 V,656.42 HP,60 HZ,,,,,,,
IOCL,IOCL-DEMO-57EBF3,VALVE CRANE V3QJ-Y0WE-TL44-7THE-OTAO-171F 2.77 INCH 2500# BRONZE FLANGED,EACH,CAT-VLV,Valve,Crane,V3QJ-Y0WE-TL44-7THE-OTAO-171F,,2.77 inch,2500#,,,,,,,Bronze,,Flanged,
NTPC,NTPC-DEMO-211648,INSTRUMENTATION ROSEMOUNT JW8Y-JAX9-854G-UW7S-G185 4587 DEGF MODBUS 1/4 NPT 0.1%,EACH,CAT-INS,Instrumentation,Rosemount,JW8Y-JAX9-854G-UW7S-G185,,,,,,,,,,,,,
NTPC,NTPC-DEMO-BAFF02,CABLE PRYSMIAN PA7ZC X RAI8 SQMM RIWH/X6I4 ASG8 50 EACH 910.73 AWG 1.1KV RUBBER,EACH,CAT-CBL,Cable,Prysmian,PA7ZC x RAI8 sqmm RIWH/X6I4 ASG8,,,,,,,,,,,,,
NTPC,NTPC-DEMO-F2C505,CABLE POLYCAB M58DC X IJTA SQMM QEJE/CYYN ZGGJ 51 EACH 352.84 MM2 33KV RUBBER,EACH,CAT-CBL,Cable,Polycab,M58DC x IJTA sqmm QEJE/CYYN ZGGJ,,,,,,,,,,,,,
ONGC,ONGC-DEMO-6C4BE3,MOTOR WEG X8AO-9II5-3JCA-2HCB-XRAS 8415.27 HP 4179 V 50 HZ 750 RPM TENV,EACH,CAT-MTR,Motor,WEG,X8AO-9II5-3JCA-2HCB-XRAS,,,,4179 V,8415.27 HP,50 HZ,,,,,,,
SAIL,SAIL-DEMO-F717BF,FLANGE MELESI DH0V-26NH-8MVT-WNL3-WOZX 16.48 INCH 600# LAP JOINT RAISED FACE (RF),EACH,CAT-FLG,Flange,Melesi,DH0V-26NH-8MVT-WNL3-WOZX,,16.48 inch,600#,,,,,,,,,,
SAIL,SAIL-DEMO-BF20BE,ELECTRICAL COMPONENT EATON IFHC-5GN9-8JPM-AL99 5800.8 KA 216509 KV 2P 61 KA,EACH,CAT-ELC,Electrical Component,Eaton,IFHC-5GN9-8JPM-AL99,,,,,,,,,,,,,
BHEL,BHEL-DEMO-59670E,VALVE CRANE T3DL-2LYO-1ZK5-O7VA-QBIJ-T0SB 32.94 MM 2500# WCB FLANGED,EACH,CAT-VLV,Valve,Crane,T3DL-2LYO-1ZK5-O7VA-QBIJ-T0SB,,32.94 mm,2500#,,,,,,,WCB,,Flanged,
BHEL,BHEL-DEMO-A27B01,GASKET KLINGER AAIQ-1PSB-VWT4-UEUH-4Z00-VML1 56.96 MM 150# RTJ SS304,EACH,CAT-GSK,Gasket,Klinger,AAIQ-1PSB-VWT4-UEUH-4Z00-VML1,,56.96 mm,150#,,,,,,,,,,
SAIL,SAIL-DEMO-72CADC,PUMP SULZER 53N6-M03S-DY0I-GF9D 12778 GPM 2859 FT 1941.64 KW,EACH,CAT-PMP,Pump,Sulzer,53N6-M03S-DY0I-GF9D,,,,,1941.64 KW,,,,,,,,
IOCL,IOCL-DEMO-432A6E,MOTOR WEG GJ5F-GXCH-HB5T-05RA-54Y0 5647.35 KW 9796 KV 60 HZ 1500 RPM TEFC,EACH,CAT-MTR,Motor,WEG,GJ5F-GXCH-HB5T-05RA-54Y0,,,,9796 KV,5647.35 kW,60 HZ,,,,,,,
NTPC,NTPC-DEMO-04DF85,PPE HONEYWELL GJTU-6HBL-WAQV-UMKI M POLYCARBONATE CE BLUE,EACH,CAT-PPE,PPE,Honeywell,GJTU-6HBL-WAQV-UMKI,,M,,,,,,,,,,,
NTPC,NTPC-DEMO-0D6FBC,PPE MSA SAFETY M8XS-65QQ-1J6T-5W4R XL KEVLAR ANSI RED,EACH,CAT-PPE,PPE,MSA Safety,M8XS-65QQ-1J6T-5W4R,,XL,,,,,,,,,,,
IOCL,IOCL-DEMO-18BB8A,LUBRICANT CASTROL MLTN MEXO NE3V - ZU5X ISO VG 68 SYNTHETIC (PAO) NLGI 1 641 L,EACH,CAT-LUB,Lubricant,Castrol,MLTN MEXO NE3V - ZU5X,,,,,,,,,,,,,
BHEL,BHEL-DEMO-3D9A43,LUBRICANT SHELL FGQO FQXR 3ORM - 1SLQ ISO VG 46 MINERAL NLGI 1 403 KG,EACH,CAT-LUB,Lubricant,Shell,FGQO FQXR 3ORM - 1SLQ,,,,,,,,,,,,,
BHEL,BHEL-DEMO-4F05CA,FLANGE GALPERTI W3D0-SJQH-0DZF-N7MM-VHO8 46.46 INCH 1500# WELD NECK RAISED FACE (RF),EACH,CAT-FLG,Flange,Galperti,W3D0-SJQH-0DZF-N7MM-VHO8,,46.46 inch,1500#,,,,,,,,,,
SAIL,SAIL-DEMO-A4452C,ELECTRICAL COMPONENT ABB 1T5J-T98B-6P03-GW19 2895.26 KA 309510 KV 2P 99 KA,EACH,CAT-ELC,Electrical Component,ABB,1T5J-T98B-6P03-GW19,,,,,,,,,,,,,
SAIL,SAIL-DEMO-F44A5F,ELECTRICAL COMPONENT SCHNEIDER ELECTRIC 6CKE-D7QV-19SX-2W9O 793.35 A 564590 V 3P 119 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,6CKE-D7QV-19SX-2W9O,,,,,,,,,,,,,
NTPC,NTPC-DEMO-1EB5CB,PPE ANSELL RWEK-H6WK-0WB2-XRBJ 7 POLYCARBONATE CE HI-VIS,EACH,CAT-PPE,PPE,Ansell,RWEK-H6WK-0WB2-XRBJ,,7,,,,,,,,,,,
BHEL,BHEL-DEMO-D75A75,GASKET LAMONS OQ7R-AC1C-QW9D-XCV4-QSQS-G47Z 42.49 MM 300# PTFE SS304,EACH,CAT-GSK,Gasket,Lamons,OQ7R-AC1C-QW9D-XCV4-QSQS-G47Z,,42.49 mm,300#,,,,,,,,,,
ONGC,ONGC-DEMO-D9A17D,FLANGE CHW FORGE GC7D-N97G-Z9IF-YR7C-ZTPW 8.26 INCH 900# SLIP-ON FLAT FACE (FF),EACH,CAT-FLG,Flange,CHW Forge,GC7D-N97G-Z9IF-YR7C-ZTPW,,8.26 inch,900#,,,,,,,,,,
IOCL,IOCL-DEMO-DD37F2,PIPE ARCELORMITTAL VXGC-TUH5-1CGL-OS3Y-TDHQ 55.94 MM SCH80 ASTM A106 GR B 9 FT,EACH,CAT-PIP,Pipe,ArcelorMittal,VXGC-TUH5-1CGL-OS3Y-TDHQ,ASTM A106 Gr B,,,,,,55.94 mm,SCH80,,,,,
BHEL,BHEL-DEMO-852794,ELECTRICAL COMPONENT ABB WRIW-7F2H-WEML-LWLA 3168.9 A 535433 V 3P 149 KA,EACH,CAT-ELC,Electrical Component,ABB,WRIW-7F2H-WEML-LWLA,,,,,,,,,,,,,
SAIL,SAIL-DEMO-DBF64A,CABLE HAVELLS WL0GC X DAE5 SQMM NZ0V/58RN LWTJ 15 EACH 994.98 AWG 11KV PVC,EACH,CAT-CBL,Cable,Havells,WL0GC x DAE5 sqmm NZ0V/58RN LWTJ,,,,,,,,,,,,,
BHEL,BHEL-DEMO-FEECF3,VALVE CRANE FRKS-N4E4-4RND-0SFT-0303-EVFN 38.51 INCH 900# LCC LUG,EACH,CAT-VLV,Valve,Crane,FRKS-N4E4-4RND-0SFT-0303-EVFN,,38.51 inch,900#,,,,,,,LCC,,Lug,
BHEL,BHEL-DEMO-B53CD9,FLANGE CHW FORGE V2II-3L1A-JAXY-EELN-JGHU 33.55 MM 900# SLIP-ON FLAT FACE (FF),EACH,CAT-FLG,Flange,CHW Forge,V2II-3L1A-JAXY-EELN-JGHU,,33.55 mm,900#,,,,,,,,,,
IOCL,IOCL-DEMO-300D71,ELECTRICAL COMPONENT SCHNEIDER ELECTRIC FKLJ-26XJ-10L4-WE08 2172.48 KA 32526 V 3P 25 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,FKLJ-26XJ-10L4-WE08,,,,,,,,,,,,,
