procurement_id,cpse_code,material_code,supplier,quantity,unit_price,total_spend,uom,procurement_date,plant
PROC-SYN-342566ED,CPI,CPI-SYN-539122,SYNTHETIC_SUPPLIER_CB,83,3761.61,312213.63,EACH,2021-01-12,PLANT-2
PROC-SYN-BA2308C4,CPI,CPI-SYN-539122,SYNTHETIC_SUPPLIER_ZB,45,3538.14,159216.3,EACH,2026-03-12,PLANT-2
PROC-SYN-CBE716D8,AHM,AHM-SYN-205428,SYNTHETIC_SUPPLIER_WA,16,4023.53,64376.48,EACH,2020-11-10,PLANT-2
PROC-SYN-DBB6E0C5,AHM,AHM-SYN-205428,SYNTHETIC_SUPPLIER_KA,87,3640.39,316713.93,EACH,2024-02-01,PLANT-2
PROC-SYN-3E1A8350,NEC,NEC-SYN-446747,SYNTHETIC_SUPPLIER_MA,2,1634.16,3268.32,EACH,2023-05-10,PLANT-2
PROC-SYN-734C4965,NEC,NEC-SYN-941814,SYNTHETIC_SUPPLIER_UB,68,324.27,22050.36,EACH,2022-10-18,PLANT-4
PROC-SYN-6263D284,AHM,AHM-SYN-868367,SYNTHETIC_SUPPLIER_PB,4,2190.93,8763.72,EACH,2022-09-09,PLANT-3
PROC-SYN-9701CD69,AHM,AHM-SYN-868367,SYNTHETIC_SUPPLIER_RB,19,2006.94,38131.86,EACH,2024-07-08,PLANT-3
PROC-SYN-7AF305AC,AHM,AHM-SYN-208310,SYNTHETIC_SUPPLIER_TA,15,97.32,1459.8,EACH,2026-02-11,PLANT-1
PROC-SYN-09027FD4,AHM,AHM-SYN-208310,SYNTHETIC_SUPPLIER_YA,21,103.9,2181.9,EACH,2026-02-25,PLANT-1
PROC-SYN-C89DA60F,AHM,AHM-SYN-602278,SYNTHETIC_SUPPLIER_EA,79,265.55,20978.45,EACH,2024-03-08,PLANT-3
PROC-SYN-83B53115,AHM,AHM-SYN-602278,SYNTHETIC_SUPPLIER_AA,72,246.87,17774.64,EACH,2021-03-12,PLANT-3
PROC-SYN-52E50752,AHM,AHM-SYN-602278,SYNTHETIC_SUPPLIER_GA,71,255.75,18158.25,EACH,2021-11-28,PLANT-3
PROC-SYN-38984566,BUS,BUS-SYN-845279,SYNTHETIC_SUPPLIER_IB,25,2348.05,58701.25,EACH,2020-09-17,PLANT-5
PROC-SYN-4BDA5BF2,CPI,CPI-SYN-179184,SYNTHETIC_SUPPLIER_CB,59,1259.02,74282.18,EACH,2020-05-18,PLANT-1
PROC-SYN-F345517C,CPI,CPI-SYN-179184,SYNTHETIC_SUPPLIER_FB,87,1157.17,100673.79,EACH,2021-06-25,PLANT-1
PROC-SYN-D7A04CCA,GME,GME-SYN-117072,SYNTHETIC_SUPPLIER_FB,99,2843.92,281548.08,EACH,2020-12-09,PLANT-1
PROC-SYN-F554810E,GME,GME-SYN-117072,SYNTHETIC_SUPPLIER_RB,100,2740.48,274048.0,EACH,2022-06-07,PLANT-1
PROC-SYN-97C8BF1F,GME,GME-SYN-117072,SYNTHETIC_SUPPLIER_GB,61,2716.17,165686.37,EACH,2024-02-20,PLANT-1
PROC-SYN-C7E19010,GME,GME-SYN-360221,SYNTHETIC_SUPPLIER_ZB,63,3258.3,205272.9,EACH,2022-01-05,PLANT-5
PROC-SYN-2A1F0E74,GME,GME-SYN-360221,SYNTHETIC_SUPPLIER_OA,85,3070.78,261016.3,EACH,2022-11-01,PLANT-5
PROC-SYN-C806E150,GME,GME-SYN-360221,SYNTHETIC_SUPPLIER_LA,90,2923.45,263110.5,EACH,2026-07-15,PLANT-5
PROC-SYN-02DDFF1C,CPI,CPI-SYN-483162,SYNTHETIC_SUPPLIER_TB,45,3649.37,164221.65,EACH,2020-04-25,PLANT-5
PROC-SYN-27C8EC98,GME,GME-SYN-307356,SYNTHETIC_SUPPLIER_GB,60,1150.09,69005.4,EACH,2025-05-28,PLANT-4
PROC-SYN-86B8848B,BUS,BUS-SYN-720298,SYNTHETIC_SUPPLIER_WA,33,1055.56,34833.48,EACH,2024-08-26,PLANT-1
PROC-SYN-87EA89F1,GME,GME-SYN-438273,SYNTHETIC_SUPPLIER_SA,63,1212.03,76357.89,EACH,2025-11-23,PLANT-2
PROC-SYN-22DAEBC1,GME,GME-SYN-438273,SYNTHETIC_SUPPLIER_JA,63,1203.41,75814.83,EACH,2022-09-09,PLANT-2
PROC-SYN-68D3088A,GME,GME-SYN-438273,SYNTHETIC_SUPPLIER_BB,54,1212.35,65466.9,EACH,2021-06-21,PLANT-2
PROC-SYN-50F26A95,CPI,CPI-SYN-247475,SYNTHETIC_SUPPLIER_GA,81,3058.06,247702.86,EACH,2024-06-10,PLANT-3
PROC-SYN-8F57E9E1,CPI,CPI-SYN-493696,SYNTHETIC_SUPPLIER_PA,24,2031.36,48752.64,EACH,2025-03-07,PLANT-2
PROC-SYN-0658E073,CPI,CPI-SYN-493696,SYNTHETIC_SUPPLIER_XA,61,1867.11,113893.71,EACH,2025-03-24,PLANT-2
PROC-SYN-9EBFF1C0,NEC,NEC-SYN-963918,SYNTHETIC_SUPPLIER_OA,68,3938.7,267831.6,EACH,2022-11-16,PLANT-5
PROC-SYN-982FBF79,NEC,NEC-SYN-963918,SYNTHETIC_SUPPLIER_TB,96,4347.22,417333.12,EACH,2024-06-11,PLANT-5
PROC-SYN-3FB04421,GME,GME-SYN-963994,SYNTHETIC_SUPPLIER_KB,36,4045.88,145651.68,EACH,2025-06-25,PLANT-4
PROC-SYN-86D1A065,BUS,BUS-SYN-505343,SYNTHETIC_SUPPLIER_LA,99,2701.68,267466.32,EACH,2024-10-08,PLANT-1
PROC-SYN-36847624,BUS,BUS-SYN-505343,SYNTHETIC_SUPPLIER_UA,13,2787.67,36239.71,EACH,2026-02-02,PLANT-1
PROC-SYN-AD1D902F,CPI,CPI-SYN-986486,SYNTHETIC_SUPPLIER_GB,63,2222.25,140001.75,EACH,2022-04-08,PLANT-2
PROC-SYN-6E986EC1,AHM,AHM-SYN-697062,SYNTHETIC_SUPPLIER_IB,12,11.17,134.04,EACH,2022-07-27,PLANT-4
PROC-SYN-52ACD552,AHM,AHM-SYN-697062,SYNTHETIC_SUPPLIER_CB,5,10.53,52.65,EACH,2022-04-24,PLANT-4
PROC-SYN-BC5E2891,AHM,AHM-SYN-697062,SYNTHETIC_SUPPLIER_XA,6,11.16,66.96,EACH,2020-09-10,PLANT-4
PROC-SYN-440670DE,NEC,NEC-SYN-317782,SYNTHETIC_SUPPLIER_TA,42,542.66,22791.72,EACH,2023-03-09,PLANT-4
PROC-SYN-A8A22D32,GME,GME-SYN-490722,SYNTHETIC_SUPPLIER_GA,44,97.57,4293.08,EACH,2025-03-12,PLANT-3
PROC-SYN-B56DB672,BUS,BUS-SYN-628370,SYNTHETIC_SUPPLIER_UA,21,4520.69,94934.49,EACH,2025-03-09,PLANT-5
PROC-SYN-9E12E95E,BUS,BUS-SYN-628370,SYNTHETIC_SUPPLIER_BA,83,5122.12,425135.96,EACH,2021-12-14,PLANT-5
PROC-SYN-F3ED6B03,BUS,BUS-SYN-628370,SYNTHETIC_SUPPLIER_CA,39,4682.52,182618.28,EACH,2020-02-13,PLANT-5
PROC-SYN-3C63D493,GME,GME-SYN-826596,SYNTHETIC_SUPPLIER_RB,63,3718.01,234234.63,EACH,2022-03-03,PLANT-1
PROC-SYN-4310F27D,GME,GME-SYN-826596,SYNTHETIC_SUPPLIER_FB,82,3459.95,283715.9,EACH,2025-01-17,PLANT-1
PROC-SYN-542ED369,GME,GME-SYN-826596,SYNTHETIC_SUPPLIER_LA,28,3234.76,90573.28,EACH,2025-03-24,PLANT-1
PROC-SYN-8BAC6946,AHM,AHM-SYN-504620,SYNTHETIC_SUPPLIER_TA,45,4264.51,191902.95,EACH,2026-03-19,PLANT-3
PROC-SYN-8EF21343,NEC,NEC-SYN-663244,SYNTHETIC_SUPPLIER_XB,88,2979.84,262225.92,EACH,2024-08-13,PLANT-5
PROC-SYN-3CD25342,NEC,NEC-SYN-663244,SYNTHETIC_SUPPLIER_JB,70,2754.92,192844.4,EACH,2025-07-30,PLANT-5
PROC-SYN-AEB8571D,NEC,NEC-SYN-663244,SYNTHETIC_SUPPLIER_VA,10,2847.56,28475.6,EACH,2025-11-15,PLANT-5
PROC-SYN-39AAE465,BUS,BUS-SYN-693024,SYNTHETIC_SUPPLIER_JA,68,4470.85,304017.8,EACH,2024-08-11,PLANT-5
PROC-SYN-B7475519,BUS,BUS-SYN-693024,SYNTHETIC_SUPPLIER_DA,88,4506.52,396573.76,EACH,2020-05-03,PLANT-5
PROC-SYN-A01A570E,BUS,BUS-SYN-693024,SYNTHETIC_SUPPLIER_DB,24,4792.91,115029.84,EACH,2025-10-02,PLANT-5
PROC-SYN-D0754BF5,AHM,AHM-SYN-144887,SYNTHETIC_SUPPLIER_SB,32,1124.44,35982.08,EACH,2021-06-23,PLANT-2
PROC-SYN-BD072A88,AHM,AHM-SYN-144887,SYNTHETIC_SUPPLIER_UA,2,1063.96,2127.92,EACH,2022-07-30,PLANT-2
PROC-SYN-47397B76,NEC,NEC-SYN-610511,SYNTHETIC_SUPPLIER_OB,30,3129.33,93879.9,EACH,2023-05-20,PLANT-4
PROC-SYN-23C784F1,NEC,NEC-SYN-610511,SYNTHETIC_SUPPLIER_KA,49,2915.57,142862.93,EACH,2021-08-27,PLANT-4
PROC-SYN-F6FEFD72,NEC,NEC-SYN-610511,SYNTHETIC_SUPPLIER_TA,3,3060.74,9182.22,EACH,2024-10-20,PLANT-4
PROC-SYN-CC439F1F,AHM,AHM-SYN-859687,SYNTHETIC_SUPPLIER_YA,44,1648.84,72548.96,EACH,2024-09-12,PLANT-4
PROC-SYN-22B4A787,AHM,AHM-SYN-859687,SYNTHETIC_SUPPLIER_BB,72,1890.89,136144.08,EACH,2020-09-09,PLANT-4
PROC-SYN-DF73F747,BUS,BUS-SYN-886609,SYNTHETIC_SUPPLIER_SB,79,364.07,28761.53,EACH,2022-10-28,PLANT-5
PROC-SYN-11C3E88F,CPI,CPI-SYN-292818,SYNTHETIC_SUPPLIER_DB,21,1333.18,27996.78,EACH,2021-10-06,PLANT-1
PROC-SYN-592EE249,CPI,CPI-SYN-292818,SYNTHETIC_SUPPLIER_UB,82,1185.14,97181.48,EACH,2020-08-12,PLANT-1
PROC-SYN-2F367A3F,CPI,CPI-SYN-292818,SYNTHETIC_SUPPLIER_SB,41,1301.92,53378.72,EACH,2022-09-27,PLANT-1
PROC-SYN-B089D57B,NEC,NEC-SYN-563324,SYNTHETIC_SUPPLIER_BB,90,1594.63,143516.7,EACH,2026-08-03,PLANT-3
PROC-SYN-7CC69CE3,NEC,NEC-SYN-563324,SYNTHETIC_SUPPLIER_JA,14,1344.5,18823.0,EACH,2022-06-01,PLANT-3
PROC-SYN-AA4FD15C,BUS,BUS-SYN-218414,SYNTHETIC_SUPPLIER_UB,33,3447.7,113774.1,EACH,2021-04-03,PLANT-2
PROC-SYN-C35A3C22,NEC,NEC-SYN-362874,SYNTHETIC_SUPPLIER_AA,46,4898.26,225319.96,EACH,2020-10-30,PLANT-1
PROC-SYN-9AB6BDB1,CPI,CPI-SYN-156757,SYNTHETIC_SUPPLIER_BA,80,4754.99,380399.2,EACH,2026-03-23,PLANT-3
PROC-SYN-9147DAE3,AHM,AHM-SYN-295472,SYNTHETIC_SUPPLIER_RA,13,2063.82,26829.66,EACH,2022-05-02,PLANT-2
PROC-SYN-90150FAC,BUS,BUS-SYN-211957,SYNTHETIC_SUPPLIER_YB,89,5037.94,448376.66,EACH,2021-02-10,PLANT-2
PROC-SYN-6714C1A9,AHM,AHM-SYN-785010,SYNTHETIC_SUPPLIER_SA,30,1002.96,30088.8,EACH,2021-01-20,PLANT-3
PROC-SYN-05D91063,AHM,AHM-SYN-785010,SYNTHETIC_SUPPLIER_NB,93,1029.01,95697.93,EACH,2020-05-30,PLANT-3
PROC-SYN-ACD483D2,AHM,AHM-SYN-785010,SYNTHETIC_SUPPLIER_JA,19,1095.43,20813.17,EACH,2022-04-04,PLANT-3
PROC-SYN-24F327D0,AHM,AHM-SYN-236014,SYNTHETIC_SUPPLIER_OA,35,1155.86,40455.1,EACH,2022-11-05,PLANT-5
PROC-SYN-BD1E0DC4,AHM,AHM-SYN-236014,SYNTHETIC_SUPPLIER_FB,45,1061.31,47758.95,EACH,2021-01-24,PLANT-5
PROC-SYN-34EF6AB9,AHM,AHM-SYN-236014,SYNTHETIC_SUPPLIER_YA,44,1154.86,50813.84,EACH,2020-04-23,PLANT-5
PROC-SYN-1BBC4963,AHM,AHM-SYN-515287,SYNTHETIC_SUPPLIER_HA,57,5110.59,291303.63,EACH,2020-11-17,PLANT-5
PROC-SYN-D4A0F78F,NEC,NEC-SYN-803724,SYNTHETIC_SUPPLIER_PA,71,1374.63,97598.73,EACH,2021-03-11,PLANT-1
PROC-SYN-55E19831,NEC,NEC-SYN-803724,SYNTHETIC_SUPPLIER_QB,2,1294.77,2589.54,EACH,2025-10-03,PLANT-1
PROC-SYN-9DDE07A9,NEC,NEC-SYN-803724,SYNTHETIC_SUPPLIER_VA,32,1317.47,42159.04,EACH,2020-11-29,PLANT-1
PROC-SYN-955CD01B,BUS,BUS-SYN-893853,SYNTHETIC_SUPPLIER_ZB,67,3229.63,216385.21,EACH,2025-12-10,PLANT-2
PROC-SYN-1D2CE23B,BUS,BUS-SYN-893853,SYNTHETIC_SUPPLIER_SB,29,3024.42,87708.18,EACH,2024-04-29,PLANT-2
PROC-SYN-AC1ED579,BUS,BUS-SYN-346668,SYNTHETIC_SUPPLIER_MA,78,4649.73,362678.94,EACH,2025-10-03,PLANT-4
PROC-SYN-1FE0B35D,BUS,BUS-SYN-346668,SYNTHETIC_SUPPLIER_DB,51,4779.62,243760.62,EACH,2022-07-04,PLANT-4
PROC-SYN-8B31CB52,GME,GME-SYN-472566,SYNTHETIC_SUPPLIER_WB,28,2822.71,79035.88,EACH,2020-12-06,PLANT-2
PROC-SYN-48272DD4,CPI,CPI-SYN-637566,SYNTHETIC_SUPPLIER_VA,16,3850.3,61604.8,EACH,2022-09-06,PLANT-4
PROC-SYN-4ED831B5,CPI,CPI-SYN-487728,SYNTHETIC_SUPPLIER_YA,81,1410.8,114274.8,EACH,2025-03-27,PLANT-2
PROC-SYN-EAD68B32,GME,GME-SYN-645209,SYNTHETIC_SUPPLIER_QB,34,5173.82,175909.88,EACH,2025-10-08,PLANT-3
PROC-SYN-1B113062,GME,GME-SYN-645209,SYNTHETIC_SUPPLIER_SB,89,4518.94,402185.66,EACH,2026-03-15,PLANT-3
PROC-SYN-729E3397,NEC,NEC-SYN-929478,SYNTHETIC_SUPPLIER_YB,75,2508.39,188129.25,EACH,2021-01-11,PLANT-5
PROC-SYN-D34B1141,NEC,NEC-SYN-929478,SYNTHETIC_SUPPLIER_WB,44,2207.63,97135.72,EACH,2025-05-28,PLANT-5
PROC-SYN-26707780,BUS,BUS-SYN-856445,SYNTHETIC_SUPPLIER_TA,50,2412.49,120624.5,EACH,2024-05-17,PLANT-4
PROC-SYN-64744D7B,CPI,CPI-SYN-409499,SYNTHETIC_SUPPLIER_FA,16,1879.83,30077.28,EACH,2024-09-30,PLANT-5
PROC-SYN-263A4469,CPI,CPI-SYN-409499,SYNTHETIC_SUPPLIER_OA,28,1922.21,53821.88,EACH,2020-10-02,PLANT-5
PROC-SYN-B970AC3C,BUS,BUS-SYN-826830,SYNTHETIC_SUPPLIER_MA,85,2712.01,230520.85,EACH,2024-06-02,PLANT-4
PROC-SYN-F4555125,BUS,BUS-SYN-826830,SYNTHETIC_SUPPLIER_QA,29,2598.84,75366.36,EACH,2021-12-22,PLANT-4
PROC-SYN-1098602D,BUS,BUS-SYN-826830,SYNTHETIC_SUPPLIER_OA,21,2726.23,57250.83,EACH,2025-11-06,PLANT-4
PROC-SYN-3C736366,NEC,NEC-SYN-154067,SYNTHETIC_SUPPLIER_QA,40,1109.32,44372.8,EACH,2024-01-29,PLANT-1
PROC-SYN-0B22BC5F,NEC,NEC-SYN-154067,SYNTHETIC_SUPPLIER_YB,88,1239.22,109051.36,EACH,2020-04-15,PLANT-1
PROC-SYN-B4FB9D71,NEC,NEC-SYN-593002,SYNTHETIC_SUPPLIER_UA,62,502.69,31166.78,EACH,2023-01-29,PLANT-5
PROC-SYN-DC7BECE0,NEC,NEC-SYN-593002,SYNTHETIC_SUPPLIER_QA,51,575.68,29359.68,EACH,2023-05-12,PLANT-5
PROC-SYN-4841D516,NEC,NEC-SYN-580255,SYNTHETIC_SUPPLIER_LA,21,2510.49,52720.29,EACH,2020-08-21,PLANT-3
PROC-SYN-810C81BE,BUS,BUS-SYN-664566,SYNTHETIC_SUPPLIER_RB,51,3152.24,160764.24,EACH,2021-01-15,PLANT-4
PROC-SYN-76FE7DAC,BUS,BUS-SYN-664566,SYNTHETIC_SUPPLIER_UB,52,3240.63,168512.76,EACH,2022-05-14,PLANT-4
PROC-SYN-AA7F4C86,CPI,CPI-SYN-250616,SYNTHETIC_SUPPLIER_PA,42,2120.69,89068.98,EACH,2020-11-14,PLANT-2
PROC-SYN-E2AB9BC8,CPI,CPI-SYN-250616,SYNTHETIC_SUPPLIER_YA,29,2185.82,63388.78,EACH,2021-08-02,PLANT-2
PROC-SYN-377D2EE9,GME,GME-SYN-129824,SYNTHETIC_SUPPLIER_QB,90,1738.97,156507.3,EACH,2020-10-12,PLANT-1
PROC-SYN-FA52E9A3,GME,GME-SYN-129824,SYNTHETIC_SUPPLIER_OA,48,1713.03,82225.44,EACH,2025-10-08,PLANT-1
PROC-SYN-E3307D61,GME,GME-SYN-129824,SYNTHETIC_SUPPLIER_XA,10,1770.66,17706.6,EACH,2025-07-07,PLANT-1
PROC-SYN-75552790,AHM,AHM-SYN-384645,SYNTHETIC_SUPPLIER_TA,20,901.82,18036.4,EACH,2020-01-07,PLANT-3
PROC-SYN-9E87C98A,AHM,AHM-SYN-384645,SYNTHETIC_SUPPLIER_DA,91,851.3,77468.3,EACH,2022-04-29,PLANT-3
