cpse_code,material_code,description,uom,category,subcategory,manufacturer,manufacturer_part_number,material_grade,size,pressure_class,voltage,power,frequency,diameter,schedule,seal_type,body_material,trim_material,end_connection,plant
NEC,NEC-SYN-809176,[SYN] PPE 3M LPU0-DK0G-ET8T-63J3 9 KEVLAR EN 397 WHITE,EACH,CAT-PPE,PPE,3M,LPU0-DK0G-ET8T-63J3,,9,,,,,,,,,,,PLANT-4
CPI,CPI-SYN-780776,[SYN] BEARING MM (E.G. 6204-2RS1/C3) 329 EN0JNWNYQW7L 1336 INCH MM 1252 NR NTN,EACH,CAT-BRG,Bearing,NTN,EN0JNWNYQW7L (e.g. 6204-2RS1/C3),,,,,,,,,NR,,,,PLANT-4
GME,GME-SYN-171942,[SYN] MTR BALDOR 0FOD-RO8B-NP84-DYT9-MOGE 8480.35 HP 1611 V 50 HZ 1200 RPM ODP,EACH,CAT-MTR,Motor,Baldor,0FOD-RO8B-NP84-DYT9-MOGE,,,,1611 V,8480.35 HP,50 HZ,,,,,,,PLANT-5
AHM,AHM-SYN-580292,[SYN] ELECTRICAL ELECTRIC KA 400.51 COMPONENT 4P KA J99T-2D5E-M2VA-JEPE SCHNEIDER 21 379637 V,EACH,CAT-ELC,Electrical Component,Schneider Electric,J99T-2D5E-M2VA-JEPE,,,,,,,,,,,,,PLANT-1
AHM,AHM-SYN-683397,[SYN] PIPE ARCELORMITTAL QVDZ-4X1Z-HQIM-QODP-XNF7 8.52 INCH SCH10 API 5L X52 12 M,EACH,CAT-PIP,Pipe,ArcelorMittal,QVDZ-4X1Z-HQIM-QODP-XNF7,API 5L X52,,,,,,8.52 inch,SCH10,,,,,PLANT-1
GME,GME-SYN-248766,[SYN] GASKET FLEXITALLIC 22.59 CNAF SS304 MM 8VMU-HXID-4N1U-3493-WXA7-3JGZ 600#,EACH,CAT-GSK,Gasket,Flexitallic,8VMU-HXID-4N1U-3493-WXA7-3JGZ,,22.59 mm,600#,,,,,,,,,,PLANT-1
AHM,AHM-SYN-108105,[SYN] PIPE TENARIS 5F1B-CPPV-OHSM-DYVS-LH9B 24.93 INCH XXS ASTM A312 TP316L 8 M,EACH,CAT-PIP,Pipe,Tenaris,5F1B-CPPV-OHSM-DYVS-LH9B,ASTM A312 TP316L,,,,,,24.93 inch,XXS,,,,,PLANT-4
AHM,AHM-SYN-656379,[SYN] MOTOR HZ 6594 60 RPM 1200 C5BA-75UU-ZPEA-L2W3-7D4I WEG KW 5888.75 TEFC KV,EACH,CAT-MTR,Motor,WEG,C5BA-75UU-ZPEA-L2W3-7D4I,,,,6594 KV,5888.75 kW,60 HZ,,,,,,,PLANT-5
GME,GME-SYN-625721,[SYN] VALVE CRANE 11Q7-UWW5-WFCP-KJCS-LQC3-C54W 36.63 MM 150# DUCTILE IRON SOCKET WELD,EACH,CAT-VLV,Valve,Crane,11Q7-UWW5-WFCP-KJCS-LQC3-C54W,,36.63 mm,150#,,,,,,,Ductile Iron,,Socket Weld,PLANT-2
NEC,NEC-SYN-466813,[SYN] PUMP ITT GOULDS XBZ9-SVN7-N1YB-WMLU 12667 GPM 1037 M 1667.14 KW,EACH,CAT-PMP,Pump,ITT Goulds,XBZ9-SVN7-N1YB-WMLU,,,,,1667.14 KW,,,,,,,,PLANT-3
CPI,CPI-SYN-289630,[SYN] CABLE HAVELLS N23YC X 30YS SQMM XPNN/GH8R IEC4 13 EACH 662.1 MM2 66KV XLPE,EACH,CAT-CBL,Cable,Havells,N23YC x 30YS sqmm XPNN/GH8R IEC4,,,,,,,,,,,,,PLANT-5
BUS,BUS-SYN-681478,[SYN] PPE ANSELL V12I-I826-GYUP-12SP L HDPE EN 388 RED,EACH,CAT-PPE,PPE,Ansell,V12I-I826-GYUP-12SP,,L,,,,,,,,,,,PLANT-1
BUS,BUS-SYN-216587,[SYN] MTR CROMPTON GREAVES D635-7OON-NCIL-DZMF-B7R3 7588.44 HP 7459 V 50 HZ 900 RPM ODP,EACH,CAT-MTR,Motor,Crompton Greaves,D635-7OON-NCIL-DZMF-B7R3,,,,7459 V,7588.44 HP,50 HZ,,,,,,,PLANT-3
GME,GME-SYN-461551,[SYN] PIPE TENARIS D6VA-SIFP-WIOX-D9CS-S9TO 56.68 MM SCH80 API 5L X52 12 M,EACH,CAT-PIP,Pipe,Tenaris,D6VA-SIFP-WIOX-D9CS-S9TO,API 5L X52,,,,,,56.68 mm,SCH80,,,,,PLANT-2
BUS,BUS-SYN-505426,[SYN] GASKET FLEXITALLIC MMX3-Y9RG-EZ7B-H25L-LO3R-BXK5 3.92 MM 600# PTFE SS304,EACH,CAT-GSK,Gasket,Flexitallic,MMX3-Y9RG-EZ7B-H25L-LO3R-BXK5,,3.92 mm,600#,,,,,,,,,,PLANT-3
CPI,CPI-SYN-347459,[SYN] MOTOR SIEMENS 0CV3-TLCX-LVPY-MB5M-9J98 750.5 HP 6062 V 50 HZ 3600 RPM ODP,EACH,CAT-MTR,Motor,Siemens,0CV3-TLCX-LVPY-MB5M-9J98,,,,6062 V,750.5 HP,50 HZ,,,,,,,PLANT-3
GME,GME-SYN-846385,[SYN] GASKET FLEXITALLIC UTOX-IE0R-NUJJ-Q9K6-RE4Q-6QDY 60.95 MM 2500# SPIRAL WOUND SOFT IRON,EACH,CAT-GSK,Gasket,Flexitallic,UTOX-IE0R-NUJJ-Q9K6-RE4Q-6QDY,,60.95 mm,2500#,,,,,,,,,,PLANT-2
NEC,NEC-SYN-971776,[SYN] LUBRICANT CASTROL TN2T WDL9 ZS13 - C9XQ SAE 10W-40 SYNTHETIC (PAO) NLGI 1 515 L,EACH,CAT-LUB,Lubricant,Castrol,TN2T WDL9 ZS13 - C9XQ,,,,,,,,,,,,,PLANT-1
CPI,CPI-SYN-411882,[SYN] MOTOR 10237 ODP V RPM JWTE-KTSG-7FXZ-V4U3-BBXU 900 HP 60 HZ 6511.33 SIEMENS,EACH,CAT-MTR,Motor,Siemens,JWTE-KTSG-7FXZ-V4U3-BBXU,,,,10237 V,6511.33 HP,60 HZ,,,,,,,PLANT-4
GME,GME-SYN-726543,[SYN] GASKET GARLOCK 1SDI-EQFB-85P8-637Z-GF9Q-5RDO 33.19 INCH 300# SPIRAL WOUND SOFT IRON,EACH,CAT-GSK,Gasket,Garlock,1SDI-EQFB-85P8-637Z-GF9Q-5RDO,,33.19 inch,300#,,,,,,,,,,PLANT-4
GME,GME-SYN-746447,[SYN] VALVE VELAN BBUN-KNQT-3WVE-DN9U-NFVO-BBZ2 37.51 INCH 600# DUCTILE IRON THREADED,EACH,CAT-VLV,Valve,Velan,BBUN-KNQT-3WVE-DN9U-NFVO-BBZ2,,37.51 inch,600#,,,,,,,Ductile Iron,,Threaded,PLANT-3
CPI,CPI-SYN-539122,[SYN] PIPE NIPPON STEEL 3NY9-V20Y-AR82-1UZV-GWW4 18.16 INCH SCH10 ASTM A106 GR B 9 FT,EACH,CAT-PIP,Pipe,Nippon Steel,3NY9-V20Y-AR82-1UZV-GWW4,ASTM A106 Gr B,,,,,,18.16 inch,SCH10,,,,,PLANT-2
NEC,NEC-SYN-432441,[SYN] LUBRICANT MOBIL SU9R N8QT TY5Y - 2JR8 ISO VG 68 SYNTHETIC (PAO) NLGI 2 707 KG,EACH,CAT-LUB,Lubricant,Mobil,SU9R N8QT TY5Y - 2JR8,,,,,,,,,,,,,PLANT-4
AHM,AHM-SYN-205428,[SYN] CABLE N938C HAVELLS EPR SQMM MPJR/HT7Z 1.1KV MM2 2KKZ 638.13 86 EWVI X EACH,EACH,CAT-CBL,Cable,Havells,N938C x 2KKZ sqmm MPJR/HT7Z EWVI,,,,,,,,,,,,,PLANT-2
NEC,NEC-SYN-446747,[SYN] PUMP FLOWSERVE P47B-42G0-5KBK-V7MQ 17803 GPM 554 FT 1364.55 KW,EACH,CAT-PMP,Pump,Flowserve,P47B-42G0-5KBK-V7MQ,,,,,1364.55 KW,,,,,,,,PLANT-2
CPI,CPI-SYN-601410,[SYN] VALVE KITZ YGVW-OPLO-D9R7-ANQJ-LUUJ-MIYQ 11.71 MM 300# CF8M THREADED,EACH,CAT-VLV,Valve,KITZ,YGVW-OPLO-D9R7-ANQJ-LUUJ-MIYQ,,11.71 mm,300#,,,,,,,CF8M,,Threaded,PLANT-2
AHM,AHM-SYN-578987,[SYN] LUBRICANT STN7 MINERAL E36H KG 46 1YV2 TF4P 136 0 ISO MOBIL - NLGI VG,EACH,CAT-LUB,Lubricant,Mobil,1YV2 STN7 E36H - TF4P,,,,,,,,,,,,,PLANT-5
NEC,NEC-SYN-412856,[SYN] LUBRICANT CASTROL O119 XP9N 56NY - XTXM ISO VG 46 SILICONE NLGI 1 775 L,EACH,CAT-LUB,Lubricant,Castrol,O119 XP9N 56NY - XTXM,,,,,,,,,,,,,PLANT-4
GME,GME-SYN-416422,[SYN] FASTENER BOSSARD FG51-BXW7X6ICV-QY5I-BPT1 9 MM 262 INCH 10.9 UNC,EACH,CAT-FST,Fastener,Bossard,FG51-BXW7x6ICV-QY5I-BPT1,,,,,,,9 mm,,,,,,PLANT-2
AHM,AHM-SYN-196955,[SYN] MTR ABB WPR9-7Y2L-OFN1-R4KZ-36U8 5572.91 KW 6473 V 60 HZ 1200 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,ABB,WPR9-7Y2L-OFN1-R4KZ-36U8,,,,6473 V,5572.91 kW,60 HZ,,,,,,,PLANT-5
NEC,NEC-SYN-941814,[SYN] PIPE TENARIS G10U-R5L8-A78E-9RIV-H6T1 45.99 MM SCH80 ASTM A312 TP316L 9 M,EACH,CAT-PIP,Pipe,Tenaris,G10U-R5L8-A78E-9RIV-H6T1,ASTM A312 TP316L,,,,,,45.99 mm,SCH80,,,,,PLANT-4
AHM,AHM-SYN-868367,[SYN] BRNG RS 0ATVZKHIUIA7 6204-2RS1/C3) 1573 INCH INCH 694 FAG (E.G. INCH 498,EACH,CAT-BRG,Bearing,FAG,0ATVZKHIUIT7 (e.g. 6204-2RS1/C3),,,,,,,,,RS,,,,PLANT-3
AHM,AHM-SYN-525750,[SYN] FASTENER KAMAX NWYW-RRATXATJ9-A3Y3-6DDF 26 INCH 422 INCH 12.9 METRIC COARSE,EACH,CAT-FST,Fastener,Kamax,NWYW-RRATxATJ9-A3Y3-6DDF,,,,,,,26 inch,,,,,,PLANT-4
NEC,NEC-SYN-180674,[SYN] CABLE XLPE SQMM X PRYSMIAN ONRWC 1.1KV 36 AWG L996/7I6Y EACH UJ7Y 179.76 ZC4X,EACH,CAT-CBL,Cable,Prysmian,ONRWC x ZC4X sqmm L996/7I6Y UJ7Y,,,,,,,,,,,,,PLANT-3
AHM,AHM-SYN-208310,[SYN] GASKET INCH CNAF 8LW2-QITN-GVN1-KICJ-N2FO-MD7Q 54.94 SS304 LAMONS 300#,EACH,CAT-GSK,Gasket,Lamons,8LW2-QITN-GVN1-KICJ-N2FO-MD7Q,,54.94 inch,300#,,,,,,,,,,PLANT-1
AHM,AHM-SYN-602278,[SYN] PIPE B JINDAL SAW 8 M GR YGJJ-FGJK-2N7Z-RWQE-AO4N 103.53 A106 MM SCH80 ASTM,EACH,CAT-PIP,Pipe,Jindal SAW,YGJJ-FGJK-2N7Z-RWQE-AO4N,ASTM A106 Gr B,,,,,,103.53 mm,SCH80,,,,,PLANT-3
NEC,NEC-SYN-889245,[SYN] MOTOR CROMPTON GREAVES 7H23-C42Y-FKJF-PNQV-UT75 4183.07 KW 6000 V 50 HZ 1200 RPM TEFC,EACH,CAT-MTR,Motor,Crompton Greaves,7H23-C42Y-FKJF-PNQV-UT75,,,,6000 V,4183.07 kW,50 HZ,,,,,,,PLANT-3
AHM,AHM-SYN-810032,[SYN] MOTOR BALDOR YHNQ-YYF9-RK7D-30MM-2SMD 7219.97 HP 5335 V 60 HZ 1000 RPM TENV,EACH,CAT-MTR,Motor,Baldor,YHNQ-YYF9-RK7D-30MM-2SMD,,,,5335 V,7219.97 HP,60 HZ,,,,,,,PLANT-2
AHM,AHM-SYN-986589,[SYN] GASKET LAMONS 8IOG-XPBW-HVNZ-H13C-D5GL-QJ5S 46.2 MM 1500# CORRUGATED METAL SOFT IRON,EACH,CAT-GSK,Gasket,Lamons,8IOG-XPBW-HVNZ-H13C-D5GL-QJ5S,,46.2 mm,1500#,,,,,,,,,,PLANT-4
AHM,AHM-SYN-529008,[SYN] PIZE TENARIS YLIE-NFNV-UPRT-77GG-KG4W 103.93 INCH SCH160 ASTM A106 GR B 10 FT,EACH,CAT-PIP,Pipe,Tenaris,YLIE-NFNV-UPRT-77GG-KG4W,ASTM A106 Gr B,,,,,,103.93 inch,SCH160,,,,,PLANT-4
BUS,BUS-SYN-845279,[SYN] VALVE VELAN BIK2-U1RS-UJT9-T11P-HP0X-I5BJ 62.11 INCH PN40 LCC LUG,EACH,CAT-VLV,Valve,Velan,BIK2-U1RS-UJT9-T11P-HP0X-I5BJ,,62.11 inch,PN40,,,,,,,LCC,,Lug,PLANT-5
CPI,CPI-SYN-179184,[SYN] PIPE VALLOUREC KTLZ-KJ49-YD82-795E-5IZ3 91.5 MM SCH160 ASTM A312 TP316L 9 FT,EACH,CAT-PIP,Pipe,Vallourec,KTLZ-KJ49-YD82-795E-5IZ3,ASTM A312 TP316L,,,,,,91.5 mm,SCH160,,,,,PLANT-1
GME,GME-SYN-117072,[SYN] LUBRICANT CASTROL U54D 8WZ4 2O83 - RLKT ISO VG 46 PAG NLGI 0 642 KG,EACH,CAT-LUB,Lubricant,Castrol,U54D 8WZ4 2O83 - RLKT,,,,,,,,,,,,,PLANT-1
BUS,BUS-SYN-174268,[SYN] INSTRUMENTATION ENDRESS+HAUSER 5K55-DMCX-XBW0-1PDD-HCVS 7091 BAR 4-20MA 1/2 NPT 0.25%,EACH,CAT-INS,Instrumentation,Endress+Hauser,5K55-DMCX-XBW0-1PDD-HCVS,,,,,,,,,,,,,PLANT-2
GME,GME-SYN-360221,[SYN] ELECTRICAL COMPONENT ABB XYCU-VFMH-07WP-H6FE 4599.08 KA 450258 KV 2P 80 KA,EACH,CAT-ELC,Electrical Component,ABB,XYCU-VFMH-07WP-H6FE,,,,,,,,,,,,,PLANT-5
CPI,CPI-SYN-483162,[SYN] BEARING FAG SS0KB68RERVT (E.G. 6204-2RS1/C3) 27 INCH 1922 INCH 71 INCH 2RS,EACH,CAT-BRG,Bearing,FAG,SS0KB68RERVT (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-5
AHM,AHM-SYN-509711,[SYN] BEARING SKF AH78OKZ1POXT (E.G. 6204-2RS1/C3) 315 INCH 181 INCH 44 MM Z,EACH,CAT-BRG,Bearing,SKF,AH78OKZ1POXT (e.g. 6204-2RS1/C3),,,,,,,,,Z,,,,PLANT-5
BUS,BUS-SYN-451284,[SYN] PMP KSB I7EW-BXXG-AEAR-MS3J 12186 M3/H 1105 M 3857.27 KW,EACH,CAT-PMP,Pump,KSB,I7EW-BXXG-AEAR-MS3J,,,,,3857.27 KW,,,,,,,,PLANT-4
GME,GME-SYN-699298,[SYN] CABLE E0A4/ABN7 SQMM SB4GC EPR G8B2 92 224.9 33KV EACH F16Y X LAPP MM2,EACH,CAT-CBL,Cable,LAPP,SB4GC x F16Y sqmm E0A4/ABN7 G8B2,,,,,,,,,,,,,PLANT-3
AHM,AHM-SYN-846221,[SYN] FLANGE 0IN8-910T-2F7A-TWYA-M1N0 1500# RAISED GALPERTI (RF) 22.49 SOCKET WELD FACE INCH,EACH,CAT-FLG,Flange,Galperti,0IN8-910T-2F7A-TWYA-M1N0,,22.49 inch,1500#,,,,,,,,,,PLANT-3
AHM,AHM-SYN-966529,[SYN] PIPE 5L TENARIS SCH160 MM 7 X52 FT P8IJ-L2Z0-LJCH-2VFF-QOT8 25.31 API,EACH,CAT-PIP,Pipe,Tenaris,P8IJ-L2Z0-LJCH-2VFF-QOT8,API 5L X52,,,,,,25.31 mm,SCH160,,,,,PLANT-5
GME,GME-SYN-307356,[SYN] BRNG NSK UTDD2EC2IHOY (E.G. 6204-2RS1/C3) 1323 MM 1202 INCH 473 MM OPEN,EACH,CAT-BRG,Bearing,NSK,UTDD2EC2IHOY (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,PLANT-4
NEC,NEC-SYN-602985,[SYN] CABLE LAPP B7P0C X RNPM SQMM 6JQF/WWXR 5RDN 54 EACH 642.83 MM2 66KV RUBBER,EACH,CAT-CBL,Cable,LAPP,B7P0C x RNPM sqmm 6JQF/WWXR 5RDN,,,,,,,,,,,,,PLANT-5
BUS,BUS-SYN-720298,[SYN] FLANGE ULMA LH62-C9T1-99DX-J37C-9H42 25.87 INCH 300# THREADED RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Ulma,LH62-C9T1-99DX-J37C-9H42,,25.87 inch,300#,,,,,,,,,,PLANT-1
GME,GME-SYN-438273,[SYN] FASTENER BOSSARD GBCV-ARLWX3MG2-5CFZ-FDSN 11 INCH 365 INCH A4-80 UNC,EACH,CAT-FST,Fastener,Bossard,GBCV-ARLWx3MG2-5CFZ-FDSN,,,,,,,11 inch,,,,,,PLANT-2
CPI,CPI-SYN-247475,[SYN] LUBRICANT MOBIL ZU6W MX3N 0KGA - ZU41 SAE 10W-40 SYNTHETIC (PAO) NLGI 1 960 KG,EACH,CAT-LUB,Lubricant,Mobil,ZU6W MX3N 0KGA - ZU41,,,,,,,,,,,,,PLANT-3
CPI,CPI-SYN-493696,[SYN] CABLE LAPP AHYMC X 2ZBP SQMM PFO5/MN32 U1IQ 5 EACH 20.57 AWG 1.1KV EPR,EACH,CAT-CBL,Cable,LAPP,AHYMC x 2ZBP sqmm PFO5/MN32 U1IQ,,,,,,,,,,,,,PLANT-2
NEC,NEC-SYN-963918,[SYN] PMP GRUNDFOS 7F6F-DHGZ-Z0JK-IBU4 5033 M3/H 1482 M 2138.32 HP,EACH,CAT-PMP,Pump,Grundfos,7F6F-DHGZ-Z0JK-IBU4,,,,,2138.32 HP,,,,,,,,PLANT-5
GME,GME-SYN-599397,[SYN] CABLE NQJQ/IJC1 97 YDMT SQMM LORXC DTG5 RUBBER X AWG 553.83 EACH PRYSMIAN 66KV,EACH,CAT-CBL,Cable,Prysmian,LORXC x DTG5 sqmm NQJQ/IJC1 YDMT,,,,,,,,,,,,,PLANT-3
BUS,BUS-SYN-699809,[SYN] INSTRUMENTATION ENDRESS+HAUSER 4J66-CNOL-JQ52-WSPO-FV17 1530 BAR PROFIBUS SANITARY 1.0%,EACH,CAT-INS,Instrumentation,Endress+Hauser,4J66-CNOL-JQ52-WSPO-FV17,,,,,,,,,,,,,PLANT-5
GME,GME-SYN-963994,[SYN] PPE 3M O5YB-RJNM-2L44-Y9IK 9 KEVLAR CE RED,EACH,CAT-PPE,PPE,3M,O5YB-RJNM-2L44-Y9IK,,9,,,,,,,,,,,PLANT-4
BUS,BUS-SYN-505343,[SYN] MOTOR 60 SIEMENS 7885 HZ 5940.48 LSE4-5BG3-4IQ7-ZJ3S-WEBN KV 900 TENV KW RPM,EACH,CAT-MTR,Motor,Siemens,LSE4-5BG3-4IQ7-ZJ3S-WEBN,,,,7885 KV,5940.48 kW,60 HZ,,,,,,,PLANT-1
BUS,BUS-SYN-452618,[SYN] LUBRICANT MOBIL VAJ2 K8XP NMJQ - Y3OD SAE 10W-40 SILICONE NLGI 2 494 L,EACH,CAT-LUB,Lubricant,Mobil,VAJ2 K8XP NMJQ - Y3OD,,,,,,,,,,,,,PLANT-3
